year,month,state,state full name,permit,permit_recheck,handgun,long_gun,other,multiple,totals
2019,2019-12,AL,Alabama,33683,485,33020,25882,1560,1382,100100
2019,2019-12,AK,Alaska,386,13,3455,3080,397,215,7840
2019,2019-12,AZ,Arizona,4536,649,18178,10423,1560,1109,38171
2019,2019-12,AR,Arkansas,2339,638,8671,10957,531,458,25699
2019,2019-12,CA,California,29544,0,40637,30780,4883,0,106600
2019,2019-12,CO,Colorado,4867,0,22531,16681,1762,1333,47496
2019,2019-12,CT,Connecticut,4329,384,5655,2215,706,0,13289
2019,2019-12,DE,Delaware,153,0,2075,2301,120,94,4920
2019,2019-12,DC,District of Columbia,623,0,101,1,0,1,755
2019,2019-12,FL,Florida,15238,0,67435,31580,4458,3150,128789
2019,2019-12,GA,Georgia,19493,0,21514,17664,880,807,63154
2019,2019-12,GU,Guam,0,0,180,86,18,10,294
2019,2019-12,HI,Hawaii,1195,0,0,0,0,0,1199
2019,2019-12,ID,Idaho,5207,5,6745,7111,514,328,20609
2019,2019-12,IL,Illinois,15241,493794,24792,13258,0,1107,548192
2019,2019-12,IN,Indiana,757,31033,26770,18746,2075,1239,81766
2019,2019-12,IA,Iowa,6589,8286,271,4421,81,3,19747
2019,2019-12,KS,Kansas,1324,12,8092,8653,716,476,20244
2019,2019-12,KY,Kentucky,1160,369253,16185,14471,729,753,405291
2019,2019-12,LA,Louisiana,943,103,14237,16743,912,767,35358
2019,2019-12,ME,Maine,301,3,3651,4119,348,211,8806
2019,2019-12,MP,Mariana Islands,0,0,8,0,2,0,10
2019,2019-12,MD,Maryland,3446,8,4175,6878,186,34,15005
2019,2019-12,MA,Massachusetts,6973,0,4516,2789,510,196,15069
2019,2019-12,MI,Michigan,15746,3453,14303,14075,1008,332,49209
2019,2019-12,MN,Minnesota,9676,25827,9835,11241,1023,514,58701
2019,2019-12,MS,Mississippi,1515,0,12935,14538,536,593,32804
2019,2019-12,MO,Missouri,3695,0,26084,22222,2346,1321,58129
2019,2019-12,MT,Montana,1365,0,4169,5522,301,249,12540
2019,2019-12,NE,Nebraska,4689,91,173,3205,44,4,8271
2019,2019-12,NV,Nevada,1622,0,6307,3636,385,362,12762
2019,2019-12,NH,New Hampshire,1081,0,5471,3255,322,0,10232
2019,2019-12,NJ,New Jersey,0,0,3747,4341,216,0,8427
2019,2019-12,NM,New Mexico,760,0,7794,5184,584,421,15629
2019,2019-12,NY,New York,3069,1461,8899,16654,1517,224,32574
2019,2019-12,NC,North Carolina,23541,75,2559,22945,1295,245,54582
2019,2019-12,ND,North Dakota,261,13,2155,3171,175,120,6058
2019,2019-12,OH,Ohio,9850,146,31054,23312,2223,1380,69642
2019,2019-12,OK,Oklahoma,2309,0,19110,14320,1574,1223,41600
2019,2019-12,OR,Oregon,5009,564,17610,14016,0,4,37374
2019,2019-12,PA,Pennsylvania,21995,0,53180,20278,32,0,96382
2019,2019-12,PR,Puerto Rico,0,0,1767,195,131,26,2138
2019,2019-12,RI,Rhode Island,0,0,1117,794,84,217,2406
2019,2019-12,SC,South Carolina,7891,197,14905,11857,1005,655,37962
2019,2019-12,SD,South Dakota,467,9,3264,4482,262,207,8999
2019,2019-12,TN,Tennessee,10319,26,35893,26800,1899,0,75036
2019,2019-12,TX,Texas,25456,0,69732,53386,4713,3398,166241
2019,2019-12,UT,Utah,11139,62935,5893,6783,407,0,87883
2019,2019-12,VT,Vermont,0,0,1610,1613,151,83,3484
2019,2019-12,VI,Virgin Islands,78,0,32,0,0,0,110
2019,2019-12,VA,Virginia,392,406,37790,29539,8357,0,76559
2019,2019-12,WA,Washington,13500,404,20508,11752,3724,51,52234
2019,2019-12,WV,West Virginia,1616,98,8815,9944,415,490,22990
2019,2019-12,WI,Wisconsin,7738,509,17195,14486,1223,41,41584
2019,2019-12,WY,Wyoming,543,7,3293,3077,212,152,7556
2019,2019-11,AL,Alabama,26375,472,24005,19212,1161,1286,77657
2019,2019-11,AK,Alaska,238,10,3003,2980,368,260,7213
2019,2019-11,AZ,Arizona,4524,650,13775,8180,1131,1182,31352
2019,2019-11,AR,Arkansas,2319,649,6814,9628,321,542,23192
2019,2019-11,CA,California,29002,0,34345,25063,3564,0,92765
2019,2019-11,CO,Colorado,4765,0,17950,13946,1475,1272,39682
2019,2019-11,CT,Connecticut,5513,355,4908,2321,692,0,13789
2019,2019-11,DE,Delaware,154,0,1684,2063,95,88,4258
2019,2019-11,DC,District of Columbia,459,0,103,1,0,1,595
2019,2019-11,FL,Florida,14070,0,54799,24497,3666,2924,107274
2019,2019-11,GA,Georgia,14625,0,16171,13002,653,721,48604
2019,2019-11,GU,Guam,0,0,98,65,12,5,181
