year,state,County,State Code,Deaths,Population
1999,AL,"Baldwin County, AL",1,22,137555
1999,AL,"Calhoun County, AL",1,29,114910
1999,AL,"Chambers County, AL",1,10,36527
1999,AL,"Colbert County, AL",1,14,54715
1999,AL,"Dallas County, AL",1,11,46722
1999,AL,"DeKalb County, AL",1,15,63593
1999,AL,"Etowah County, AL",1,23,104002
1999,AL,"Jackson County, AL",1,10,53433
1999,AL,"Jefferson County, AL",1,149,662845
1999,AL,"Lauderdale County, AL",1,13,87590
1999,AL,"Lee County, AL",1,17,112898
1999,AL,"Limestone County, AL",1,12,64880
1999,AL,"Madison County, AL",1,27,274692
1999,AL,"Marshall County, AL",1,23,81992
1999,AL,"Mobile County, AL",1,83,399323
1999,AL,"Montgomery County, AL",1,52,223548
1999,AL,"Morgan County, AL",1,14,110670
1999,AL,"Shelby County, AL",1,20,140502
1999,AL,"Tallapoosa County, AL",1,11,41649
1999,AL,"Tuscaloosa County, AL",1,29,164411
1999,AL,"Walker County, AL",1,21,70784
1999,AK,"Anchorage Borough, AK",2,27,259348
1999,AK,"Fairbanks North Star Borough, AK",2,13,83390
1999,AZ,"Cochise County, AZ",4,19,116530
1999,AZ,"Coconino County, AZ",4,18,115307
1999,AZ,"Gila County, AZ",4,11,50990
1999,AZ,"Maricopa County, AZ",4,476,3004985
1999,AZ,"Mohave County, AZ",4,37,150351
1999,AZ,"Pima County, AZ",4,144,828905
1999,AZ,"Pinal County, AZ",4,23,173364
1999,AZ,"Yavapai County, AZ",4,43,162943
1999,AZ,"Yuma County, AZ",4,18,155665
1999,AR,"Benton County, AR",5,20,148636
1999,AR,"Crittenden County, AR",5,14,50530
1999,AR,"Garland County, AR",5,18,87177
1999,AR,"Jefferson County, AR",5,17,84178
1999,AR,"Pulaski County, AR",5,66,360312
1999,AR,"Sebastian County, AR",5,10,113302
1999,AR,"Washington County, AR",5,15,154627
1999,CA,"Alameda County, CA",6,122,1427114
1999,CA,"Butte County, CA",6,18,201282
1999,CA,"Contra Costa County, CA",6,99,936983
1999,CA,"El Dorado County, CA",6,16,154381
1999,CA,"Fresno County, CA",6,70,789405
1999,CA,"Humboldt County, CA",6,17,126676
1999,CA,"Kern County, CA",6,68,655428
1999,CA,"Los Angeles County, CA",6,1091,9437290
1999,CA,"Madera County, CA",6,12,121883
1999,CA,"Mendocino County, CA",6,14,85665
1999,CA,"Merced County, CA",6,24,206734
1999,CA,"Monterey County, CA",6,36,396267
1999,CA,"Nevada County, CA",6,12,90899
1999,CA,"Orange County, CA",6,176,2815933
1999,CA,"Placer County, CA",6,14,240928
1999,CA,"Riverside County, CA",6,151,1507912
1999,CA,"Sacramento County, CA",6,120,1206659
1999,CA,"San Bernardino County, CA",6,200,1681601
1999,CA,"San Diego County, CA",6,202,2789593
1999,CA,"San Francisco County, CA",6,50,774716
1999,CA,"San Joaquin County, CA",6,57,552424
1999,CA,"San Luis Obispo County, CA",6,13,243480
1999,CA,"San Mateo County, CA",6,42,704538
1999,CA,"Santa Barbara County, CA",6,20,396906
1999,CA,"Santa Clara County, CA",6,82,1671498
1999,CA,"Santa Cruz County, CA",6,12,253667
1999,CA,"Shasta County, CA",6,34,161987
1999,CA,"Solano County, CA",6,29,387657
1999,CA,"Sonoma County, CA",6,28,453421
1999,CA,"Stanislaus County, CA",6,38,438609
1999,CA,"Tulare County, CA",6,36,364708
1999,CA,"Ventura County, CA",6,46,743357
1999,CA,"Yolo County, CA",6,15,165269
1999,CO,"Adams County, CO",8,39,354146
1999,CO,"Arapahoe County, CO",8,43,482262
1999,CO,"Boulder County, CO",8,17,285901
1999,CO,"Denver County, CO",8,66,548848
1999,CO,"Douglas County, CO",8,10,162866
1999,CO,"El Paso County, CO",8,51,509044
1999,CO,"Fremont County, CO",8,12,45655
1999,CO,"Jefferson County, CO",8,70,523325
1999,CO,"Larimer County, CO",8,16,246884
1999,CO,"Mesa County, CO",8,24,114827
1999,CO,"Pueblo County, CO",8,23,140184
1999,CO,"Weld County, CO",8,14,174342
1999,CT,"Fairfield County, CT",9,49,877043
1999,CT,"Hartford County, CT",9,53,853039
1999,CT,"Litchfield County, CT",9,11,181328
1999,CT,"Middlesex County, CT",9,12,153340
1999,CT,"New Haven County, CT",9,44,820396
1999,CT,"New London County, CT",9,16,257568
1999,DE,"Kent County, DE",10,10,125611
1999,DE,"New Castle County, DE",10,45,496079
1999,DE,"Sussex County, DE",10,13,153300
1999,DC,"District of Columbia, DC",11,163,570213
1999,FL,"Alachua County, FL",12,17,215847
1999,FL,"Bay County, FL",12,17,148149
1999,FL,"Brevard County, FL",12,45,472138
1999,FL,"Broward County, FL",12,136,1594130
1999,FL,"Charlotte County, FL",12,13,140240
1999,FL,"Citrus County, FL",12,20,116634
1999,FL,"Clay County, FL",12,11,138704
1999,FL,"Collier County, FL",12,16,245094
1999,FL,"Duval County, FL",12,101,773150
1999,FL,"Escambia County, FL",12,28,293956
1999,FL,"Hernando County, FL",12,16,129263
1999,FL,"Highlands County, FL",12,20,86604
1999,FL,"Hillsborough County, FL",12,120,984930
1999,FL,"Indian River County, FL",12,12,111294
1999,FL,"Lake County, FL",12,23,205123
1999,FL,"Lee County, FL",12,48,431981
1999,FL,"Leon County, FL",12,17,235871
1999,FL,"Manatee County, FL",12,21,259053
1999,FL,"Marion County, FL",12,42,254964
1999,FL,"Martin County, FL",12,15,125974
1999,FL,"Miami-Dade County, FL",12,262,2220961
1999,FL,"Okaloosa County, FL",12,16,169054
1999,FL,"Orange County, FL",12,86,875681
1999,FL,"Osceola County, FL",12,12,167021
1999,FL,"Palm Beach County, FL",12,123,1116913
1999,FL,"Pasco County, FL",12,38,337533
1999,FL,"Pinellas County, FL",12,107,917379
1999,FL,"Polk County, FL",12,56,478047
1999,FL,"Putnam County, FL",12,12,70499
1999,FL,"St. Johns County, FL",12,12,119646
1999,FL,"St. Lucie County, FL",12,14,190349
1999,FL,"Santa Rosa County, FL",12,11,116070
1999,FL,"Sarasota County, FL",12,36,322839
1999,FL,"Seminole County, FL",12,33,360168
1999,FL,"Volusia County, FL",12,58,438368
1999,GA,"Baldwin County, GA",13,11,44440
1999,GA,"Bartow County, GA",13,10,74128
1999,GA,"Bibb County, GA",13,37,154254
1999,GA,"Carroll County, GA",13,15,85082
1999,GA,"Chatham County, GA",13,54,231630
1999,GA,"Cherokee County, GA",13,12,137416
1999,GA,"Clarke County, GA",13,17,100173
1999,GA,"Clayton County, GA",13,23,229966
1999,GA,"Cobb County, GA",13,74,588871
1999,GA,"Colquitt County, GA",13,11,41737
1999,GA,"DeKalb County, GA",13,86,656625
1999,GA,"Dougherty County, GA",13,17,96199
1999,GA,"Douglas County, GA",13,17,90955
1999,GA,"Floyd County, GA",13,16,89659
1999,GA,"Fulton County, GA",13,173,807365
1999,GA,"Glynn County, GA",13,10,67426
1999,GA,"Gwinnett County, GA",13,35,567569
1999,GA,"Hall County, GA",13,18,134781
1999,GA,"Henry County, GA",13,21,113011
1999,GA,"Houston County, GA",13,15,109216
1999,GA,"Lowndes County, GA",13,20,91472
1999,GA,"Muscogee County, GA",13,28,185734
1999,GA,"Richmond County, GA",13,24,199395
1999,GA,"Spalding County, GA",13,11,58227
1999,GA,"Walker County, GA",13,11,60960
1999,HI,"Honolulu County, HI",15,31,878906
1999,ID,"Ada County, ID",16,25,294292
1999,ID,"Bannock County, ID",16,10,75527
1999,ID,"Bonneville County, ID",16,11,81576
1999,ID,"Canyon County, ID",16,16,126720
1999,ID,"Kootenai County, ID",16,11,106346
1999,IL,"Cook County, IL",17,734,5365344
1999,IL,"DuPage County, IL",17,16,898083
1999,IL,"Kane County, IL",17,28,396371
1999,IL,"Kankakee County, IL",17,14,103675
1999,IL,"Lake County, IL",17,27,633094
1999,IL,"McHenry County, IL",17,10,255448
1999,IL,"Madison County, IL",17,32,258739
1999,IL,"Peoria County, IL",17,20,184042
1999,IL,"Rock Island County, IL",17,11,149961
1999,IL,"St. Clair County, IL",17,57,256201
1999,IL,"Sangamon County, IL",17,21,188957
1999,IL,"Will County, IL",17,32,486207
1999,IL,"Winnebago County, IL",17,27,276752
1999,IN,"Allen County, IN",18,26,328699
1999,IN,"Clark County, IN",18,13,95651
1999,IN,"Delaware County, IN",18,11,118772
1999,IN,"Elkhart County, IN",18,12,180645
1999,IN,"Grant County, IN",18,10,73740
1999,IN,"Johnson County, IN",18,10,113173
1999,IN,"Lake County, IN",18,124,484792
1999,IN,"Madison County, IN",18,18,133334
1999,IN,"Marion County, IN",18,156,857461
1999,IN,"Monroe County, IN",18,12,120325
1999,IN,"Porter County, IN",18,13,145815
1999,IN,"St. Joseph County, IN",18,28,264952
1999,IN,"Vanderburgh County, IN",18,16,171966
1999,IN,"Vigo County, IN",18,10,106231
1999,IA,"Linn County, IA",19,10,189931
1999,IA,"Polk County, IA",19,32,370592
1999,KS,"Ford County, KS",20,10,31992
1999,KS,"Johnson County, KS",20,30,443434
1999,KS,"Leavenworth County, KS",20,13,68368
1999,KS,"Sedgwick County, KS",20,45,451808
1999,KS,"Shawnee County, KS",20,23,169499
1999,KS,"Wyandotte County, KS",20,44,157980
1999,KY,"Fayette County, KY",21,33,258704
1999,KY,"Hardin County, KY",21,11,93269
1999,KY,"Jefferson County, KY",21,83,691879
1999,KY,"Kenton County, KY",21,19,150914
1999,KY,"Knox County, KY",21,10,31582
1999,KY,"McCracken County, KY",21,13,65553
1999,KY,"Pulaski County, KY",21,10,55993
1999,KY,"Warren County, KY",21,16,91550
1999,LA,"Ascension Parish, LA",22,17,74662
1999,LA,"Bossier Parish, LA",22,12,97284
1999,LA,"Caddo Parish, LA",22,59,251876
1999,LA,"Calcasieu Parish, LA",22,22,183417
1999,LA,"East Baton Rouge Parish, LA",22,77,412110
1999,LA,"Iberia Parish, LA",22,11,73243
1999,LA,"Jefferson Parish, LA",22,90,457571
1999,LA,"Lafayette Parish, LA",22,23,190049
1999,LA,"Lafourche Parish, LA",22,12,90062
1999,LA,"Livingston Parish, LA",22,16,89799
1999,LA,"Orleans Parish, LA",22,163,485511
1999,LA,"Ouachita Parish, LA",22,22,147190
1999,LA,"Rapides Parish, LA",22,20,126104
1999,LA,"St. Bernard Parish, LA",22,14,67659
1999,LA,"St. Landry Parish, LA",22,12,87034
1999,LA,"St. Tammany Parish, LA",22,18,188947
1999,LA,"Tangipahoa Parish, LA",22,18,99643
1999,LA,"Terrebonne Parish, LA",22,18,104507
1999,ME,"Androscoggin County, ME",23,10,103403
1999,ME,"Cumberland County, ME",23,23,263931
1999,ME,"Penobscot County, ME",23,15,144902
1999,ME,"York County, ME",23,15,182817
1999,MD,"Anne Arundel County, MD",24,30,484800
1999,MD,"Baltimore County, MD",24,55,749425
1999,MD,"Carroll County, MD",24,11,149149
1999,MD,"Charles County, MD",24,12,118571
1999,MD,"Frederick County, MD",24,14,191606
1999,MD,"Harford County, MD",24,13,216408
1999,MD,"Howard County, MD",24,12,243007
1999,MD,"Montgomery County, MD",24,35,862350
1999,MD,"Prince George's County, MD",24,133,795048
1999,MD,"Washington County, MD",24,12,131178
1999,MD,"Wicomico County, MD",24,13,83714
1999,MD,"Baltimore city, MD",24,263,657441
1999,MA,"Bristol County, MA",25,11,531208
1999,MA,"Essex County, MA",25,20,718629
1999,MA,"Hampden County, MA",25,32,455391
1999,MA,"Middlesex County, MA",25,27,1459797
1999,MA,"Norfolk County, MA",25,16,648262
1999,MA,"Plymouth County, MA",25,18,469065
1999,MA,"Suffolk County, MA",25,27,689109
1999,MA,"Worcester County, MA",25,23,744571
1999,MI,"Bay County, MI",26,10,110295
1999,MI,"Berrien County, MI",26,15,162028
1999,MI,"Calhoun County, MI",26,12,138021
1999,MI,"Genesee County, MI",26,54,434409
1999,MI,"Ingham County, MI",26,21,280035
1999,MI,"Jackson County, MI",26,10,157085
1999,MI,"Kalamazoo County, MI",26,18,237581
1999,MI,"Kent County, MI",26,34,568731
1999,MI,"Livingston County, MI",26,12,153033
1999,MI,"Macomb County, MI",26,72,783828
